دسته,شاخص,کد World Bank,کد Data360,پایگاه داده,کشور,واحد,بازه منبع,موضوع‌های Data360,کد موضوع‌های Data360,تعداد سال دارای داده,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
سلامت,امید به زندگی (سال),SP.DYN.LE00.IN,WB_WDI_SP_DYN_LE00_IN,WB_WDI,PAK,YR,1960 - 2024,"People > Health, Nutrition & Population > Mortality",P2 > P2_000003 > P2_000044,15,64.378,64.659,64.883,65.129,65.374,65.641,65.943,66.223,66.481,66.729,65.701,65.773,67.417,67.649,67.799,,
سلامت,مرگ‌ومیر زیر ۵ سال (در ۱۰۰۰),SH.DYN.MORT,WB_WDI_SH_DYN_MORT,WB_WDI,PAK,DT_10P3BR_L,1960 - 2024,"People > Health, Nutrition & Population > Mortality",P2 > P2_000003 > P2_000044,15,86.5,84.3,82.0,79.6,77.2,74.8,72.4,70.1,67.9,65.8,63.7,61.7,59.7,57.8,56.0,,
سلامت,"مرگ‌ومیر مادران (در ۱۰۰,۰۰۰)",SH.STA.MMRT,WB_WDI_SH_STA_MMRT,WB_WDI,PAK,DT_10P5BR_L,1985 - 2023,People > Gender > SDGs,P2 > P2_000002 > P2_000112,14,240.0,234.0,227.0,220.0,211.0,202.0,193.0,184.0,178.0,173.0,178.0,193.0,160.0,155.0,,,
سلامت,هزینه بهداشت (% GDP),SH.XPD.CHEX.GD.ZS,WB_WDI_SH_XPD_CHEX_GD_ZS,WB_WDI,PAK,PT_GDP,2000 - 2024,"People > Health, Nutrition & Population",P2 > P2_000003,14,2.429677,2.231213,2.221853,2.416478,2.488991,2.494933,2.570264,2.786301,2.828449,2.847369,2.95273,2.990158,2.903548,2.519883,,,
سلامت,پزشک به ازای ۱۰۰۰ نفر,SH.MED.PHYS.ZS,WB_WDI_SH_MED_PHYS_ZS,WB_WDI,PAK,10P3PS,1960 - 2023,"People > Health, Nutrition & Population > Human Resources for Health",P2 > P2_000003 > P2_000051,11,0.727,0.748,0.775,0.795,0.818,0.85,0.89,0.932,0.917,1.049,,1.16,,,,,
سلامت,سوءتغذیه (%),SN.ITK.DEFC.ZS,WB_WDI_SN_ITK_DEFC_ZS,WB_WDI,PAK,PT_POP,2001 - 2023,"People > Health, Nutrition & Population > Nutrition",P2 > P2_000003 > P2_000050,14,15.5,15.4,15.0,14.7,14.2,13.3,11.5,11.7,10.9,12.9,13.4,16.4,16.7,16.5,,,
