دسته,شاخص,کد World Bank,کد Data360,پایگاه داده,کشور,واحد,بازه منبع,موضوع‌های Data360,کد موضوع‌های Data360,تعداد سال دارای داده,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
آموزش,نرخ سواد بزرگسالان (%),SE.ADT.LITR.ZS,WB_WDI_SE_ADT_LITR_ZS,WB_WDI,PAK,PT,1970 - 2024,People > Education > Learning,P2 > P2_000001 > P2_000115,9,55.380001,54.740002,56.759998,55.59,56.98,,,59.130001,57.009998,58.0,,58.860001,,,,,
آموزش,ثبت‌نام ابتدایی (ناخالص %),SE.PRM.ENRR,WB_WDI_SE_PRM_ENRR,WB_WDI,PAK,PT,1970 - 2025,People > Gender > Children Ages 0-14 > Education > Schooling,P2 > P2_000002 > P2_000110 > P2_000001 > P2_000117,14,73.642737,70.440669,69.903864,68.887572,72.189797,71.739919,75.733642,74.49715,77.386272,78.702553,,80.316579,78.940025,81.379635,83.726068,,
آموزش,ثبت‌نام متوسطه (ناخالص %),SE.SEC.ENRR,WB_WDI_SE_SEC_ENRR,WB_WDI,PAK,PT,1970 - 2025,People > Education > Schooling,P2 > P2_000001 > P2_000117,14,29.29629,29.727146,30.63002,31.544819,32.657343,34.674147,35.864325,35.322425,37.146606,38.751155,,40.25789,40.417766,42.291145,48.280502,,
آموزش,ثبت‌نام دانشگاهی (ناخالص %),SE.TER.ENRR,WB_WDI_SE_TER_ENRR,WB_WDI,PAK,PT,1970 - 2025,People > Education > Schooling,P2 > P2_000001 > P2_000117,15,7.033038,7.317396,8.333036,8.71836,8.745692,8.435566,8.319739,8.622281,8.206831,11.103639,11.724598,12.381001,10.505718,10.47703,10.856413,,
آموزش,هزینه آموزش (% GDP),SE.XPD.TOTL.GD.ZS,WB_WDI_SE_XPD_TOTL_GD_ZS,WB_WDI,PAK,PT_GDP,1970 - 2025,People > Education > Expenditures and Finance,P2 > P2_000001 > P2_000114,14,2.05268,2.00101,1.9788,2.23699,2.20434,2.38609,2.66805,2.57618,2.332169,2.21492,2.057182,1.687461,1.973009,1.94658,,,
