دسته,شاخص,کد World Bank,کد Data360,پایگاه داده,کشور,واحد,بازه منبع,موضوع‌های Data360,کد موضوع‌های Data360,تعداد سال دارای داده,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
محیط زیست,انتشار CO2 سرانه (تن),EN.ATM.CO2E.PC,WB_WDI_EN_ATM_CO2E_PC,WB_WDI,PAK,,,,,0,,,,,,,,,,,,,,,,,
محیط زیست,پوشش جنگلی (% زمین),AG.LND.FRST.ZS,WB_WDI_AG_LND_FRST_ZS,WB_WDI,PAK,PT_LAR,1990 - 2023,Planet > Environment,P1 > P1_000003,14,5.310463,5.268659,5.226855,5.185051,5.143247,5.101443,5.017954,4.994188,4.940561,4.886934,4.833307,4.77968,4.726053,4.672426,,,
محیط زیست,برداشت آب شیرین (%),ER.H2O.FWTL.ZS,WB_WDI_ER_H2O_FWTL_ZS,WB_WDI,PAK,PT,1962 - 2022,Planet > Water,P1 > P1_000006,13,336.872727,326.327273,341.6,333.636364,354.309091,358.018182,363.218182,363.581818,350.436364,322.018182,344.709091,334.836364,326.0,,,,
