دسته,شاخص,کد World Bank,کد Data360,پایگاه داده,کشور,واحد,بازه منبع,موضوع‌های Data360,کد موضوع‌های Data360,تعداد سال دارای داده,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
بازار کار,نرخ بیکاری (%),SL.UEM.TOTL.ZS,WB_WDI_SL_UEM_TOTL_ZS,WB_WDI,PAK,PT_LF,1991 - 2025,Prosperity > Economic Policy > Growth and Jobs,P3 > P3_000001 > P3_000007,16,0.653,0.796,3.667,2.954,1.827,3.566,2.285,3.204,4.083,4.83,5.994,6.338,5.291,5.237,5.492,5.42,
بازار کار,مشارکت نیروی کار (%),SL.TLF.CACT.ZS,WB_WDI_SL_TLF_CACT_ZS,WB_WDI,PAK,PT,1990 - 2025,Prosperity > Growth and Jobs > Jobs,P3 > P3_000007 > P3_000031,16,50.997,50.775,51.113,51.451,50.997,52.026,51.682,51.338,50.994,51.597,51.587,52.73,52.406,52.372,52.308,52.335,
بازار کار,مشارکت زنان در بازار کار (%),SL.TLF.CACT.FE.ZS,WB_WDI_SL_TLF_CACT_FE_ZS,WB_WDI,PAK,PT_W,1990 - 2025,People > Gender > Employment and Time Use > Prosperity > Growth and Jobs > Jobs,P2 > P2_000002 > P2_000038 > P3 > P3_000007 > P3_000031,16,22.036,22.228,22.508,22.79,22.987,23.983,23.162,22.358,21.571,23.241,23.406,24.365,24.027,23.997,23.989,24.046,
بازار کار,اشتغال کشاورزی (%),SL.AGR.EMPL.ZS,WB_WDI_SL_AGR_EMPL_ZS,WB_WDI,PAK,PT,1991 - 2025,Planet > Agriculture and Food > Food and Nutrition Security > Prosperity > Growth and Jobs > Jobs,P1 > P1_000001 > P1_000012 > P3 > P3_000007 > P3_000031,16,42.672415,42.818593,42.58678,42.236564,42.2332,41.010016,42.268083,39.874724,37.416427,38.308901,38.311482,37.098033,36.731414,36.77404,36.544142,36.229549,
بازار کار,اشتغال صنعتی (%),SL.IND.EMPL.ZS,WB_WDI_SL_IND_EMPL_ZS,WB_WDI,PAK,PT,1991 - 2025,Planet > Water > Water and the Economy > Prosperity > Economic Policy > Growth and Jobs,P1 > P1_000006 > P1_000051 > P3 > P3_000001 > P3_000007,16,22.57494,22.844588,22.806242,22.921871,22.873192,24.019647,23.593148,24.273294,24.98879,24.331498,24.765398,25.428055,25.414339,25.15218,25.183511,25.255486,
