دسته,شاخص,کد World Bank,کد Data360,پایگاه داده,کشور,واحد,بازه منبع,موضوع‌های Data360,کد موضوع‌های Data360,تعداد سال دارای داده,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,WB_WDI,PAK,USD,1960 - 2024,"Prosperity > Growth and Jobs > Growth > Infrastructure > Urban, Resilience and Land > Housing",P3 > P3_000007 > P3_000032 > P4 > P4_000034 > P4_000040,15,196709621849.58618,230586581059.6654,250106966104.70358,258657231672.41232,271390474857.63217,299963590534.7735,313630000130.43536,339205534861.1001,356128166704.921,320909472770.6687,300425609817.9812,348516647445.14844,374890295666.69366,336686348609.2659,371570000121.2658,,
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,WB_WDI,PAK,PC_A,1961 - 2024,Prosperity > Growth and Jobs > Growth,P3 > P3_000007 > P3_000032,15,1.501718,2.680117,3.027584,4.366865,4.116428,4.217942,6.573838,4.432626,6.151703,2.497637,-1.274087,6.513886,4.778107,-0.414936,3.048983,,
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,WB_WDI,PAK,USD,1960 - 2024,Prosperity > Growth and Jobs > Growth,P3 > P3_000007 > P3_000032,15,987.304571,1131.735138,1204.364755,1225.434012,1266.613408,1380.470208,1424.691612,1519.234595,1569.338146,1390.41691,1278.397352,1455.319224,1538.322813,1360.324178,1478.77278,,
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,WB_WDI,PAK,PC_A,1961 - 2024,Prosperity > Growth and Jobs > Growth,P3 > P3_000007 > P3_000032,15,-0.975475,0.408755,1.082272,2.682325,2.566004,2.766486,5.195069,2.966237,4.442019,0.778096,-3.038893,4.523046,2.962503,-1.945431,1.50504,,
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,WB_WDI,PAK,PT_GDP,1960 - 2024,,,15,79.834246,80.539313,82.302765,81.293091,82.144951,81.139151,80.683443,81.942182,82.40054,83.874452,81.514821,83.462961,85.897745,83.167351,84.765185,,
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,WB_WDI,PAK,PT_GDP,1960 - 2024,,,15,15.961552,14.631628,15.168987,14.98238,14.907554,15.810931,15.935747,16.332891,17.068291,15.499645,14.81554,14.534692,15.560543,13.968147,13.166532,,
