دسته,شاخص,کد World Bank,کد Data360,پایگاه داده,کشور,واحد,بازه منبع,موضوع‌های Data360,کد موضوع‌های Data360,تعداد سال دارای داده,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
زیرساخت,دسترسی به برق (%),EG.ELC.ACCS.ZS,WB_WDI_EG_ELC_ACCS_ZS,WB_WDI,PAK,PT_POP,1990 - 2023,"Infrastructure > Energy & Extractives > Urban, Resilience and Land > Housing",P4 > P4_000001 > P4_000034 > P4_000040,14,87.1,87.8,88.6,89.3,90.1,91.0,91.8,92.7,93.4,93.9,94.5,94.9,95.0,95.6,,,
زیرساخت,دسترسی به آب سالم (%),SH.H2O.BASW.ZS,WB_WDI_SH_H2O_BASW_ZS,WB_WDI,PAK,PT_POP,2000 - 2024,Planet > Water,P1 > P1_000006,15,88.814735,88.978516,89.140566,89.300729,89.459147,89.61582,89.770715,89.923778,90.075847,90.226774,90.37633,90.524309,90.670456,90.681587,90.693299,,
زیرساخت,دسترسی به بهداشت (%),SH.STA.BASS.ZS,WB_WDI_SH_STA_BASS_ZS,WB_WDI,PAK,PT_POP,2000 - 2024,"People > Health, Nutrition & Population > Infectious Diseases",P2 > P2_000003 > P2_000048,15,49.206635,51.054808,52.90861,54.767308,56.631464,58.500971,60.375705,62.255309,64.143534,66.039837,67.943382,69.853338,71.768674,71.824325,71.88286,,
زیرساخت,کاربران اینترنت (%),IT.NET.USER.ZS,WB_WDI_IT_NET_USER_ZS,WB_WDI,PAK,PT_POP,1990 - 2025,Digital > Digital Services > Connectivity,P5 > P5_000004 > P5_000074,12,8.0,8.0,8.1,9.0,10.0,11.0,12.385447,13.78,15.34,17.070902,18.935,,,,57.253,,
زیرساخت,تلفن همراه (در ۱۰۰ نفر),IT.CEL.SETS.P2,WB_WDI_IT_CEL_SETS_P2,WB_WDI,PAK,10P2PS,1960 - 2025,Digital > Digital Services,P5 > P5_000004,15,49.782332,53.446194,57.857611,60.51778,63.361844,57.940598,62.001324,64.730178,67.856766,71.666032,74.733217,78.80123,79.105054,76.539761,76.854456,,
زیرساخت,جاده‌های آسفالت (%),IS.ROD.PAVE.ZS,WB_WDI_IS_ROD_PAVE_ZS,WB_WDI,PAK,,,,,0,,,,,,,,,,,,,,,,,
