دسته,شاخص,کد World Bank,کد Data360,پایگاه داده,کشور,واحد,بازه منبع,موضوع‌های Data360,کد موضوع‌های Data360,تعداد سال دارای داده,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,WB_WDI,PAK,PT_POP,1963 - 2025,Prosperity > Poverty > Poverty,P3 > P3_000004 > P3_000020,6,26.7,25.9,,21.2,,16.9,,,16.5,,,,,,23.0,,
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,WB_WDI,PAK,PT_POP,1963 - 2025,Prosperity > Poverty > Poverty,P3 > P3_000004 > P3_000020,6,57.2,55.9,,49.3,,44.8,,,44.7,,,,,,47.9,,
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,WB_WDI,PAK,PT_POP,1963 - 2025,Prosperity > Poverty > Poverty,P3 > P3_000004 > P3_000020,6,92.7,91.8,,90.0,,87.4,,,88.4,,,,,,87.1,,
درآمد و فقر,ضریب جینی (نابرابری درآمد),SI.POV.GINI,WB_WDI_SI_POV_GINI,WB_WDI,PAK,0_TO_100,1963 - 2025,"Prosperity > Poverty > Inequality and Shared Prosperity > Infrastructure > Urban, Resilience and Land > Housing",P3 > P3_000004 > P3_000019 > P4 > P4_000034 > P4_000040,6,28.8,29.7,,29.5,,31.3,,,29.6,,,,,,33.5,,
درآمد و فقر,درآمد ملی سرانه (GNI),NY.GNP.PCAP.CD,WB_WDI_NY_GNP_PCAP_CD,WB_WDI,PAK,USD,1962 - 2024,,,15,1000.0,1020.0,1110.0,1210.0,1250.0,1280.0,1360.0,1450.0,1560.0,1520.0,1370.0,1420.0,1510.0,1450.0,1430.0,,
درآمد و فقر,جمعیت کل,SP.POP.TOTL,WB_WDI_SP_POP_TOTL,WB_WDI,PAK,PS,1960 - 2024,"Infrastructure > Urban, Resilience and Land > Housing",P4 > P4_000034 > P4_000040,15,199239047.0,203746065.0,207667125.0,211073978.0,214264647.0,217290883.0,220138869.0,223273967.0,226928892.0,230800899.0,235001746.0,239477801.0,243700667.0,247504495.0,251269164.0,,
