Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1965-66,1966-67,1967-68,1968-69,1969-70,1970-71,1971-72,1972-73,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
,Others (in 000 Nos.),,,1,1,2.1,2.2,3.1,4.3,5,4.1,4.2,5.5,6.7,8.3,9.8,28.9,38,31.9,33.9,37.8,40.5,43,45,48.1,49.8,51.5,51.5,49.5,52.7,73.6,60.7,63.7,66.5,69.7,74.7,78.8,89,71.5,71.4,71.3,69.4,60.2,38.6,40.7,41.3,21.8,24,26.4,60.5,65,68,75.5,74.7,92.4,96.1,287.1,287.3,287.5,287.6,287.7,287.8,
,Total (in 000 Nos.),,,142.7,150.3,171.5,191.9,210.7,232.9,253.9,239,270.6,323.9,385.2,461,534.6,682.1,755.7,842.6,943.9,1138.2,1288,1440.8,1548.3,1673.8,1839.5,1989.4,1989.4,2095.5,2460.3,2691.1,2950.4,3001.8,3197.9,3408.1,3654.5,4000.2,4471,5016,5315,5711.9,6048.3,7084.5,8063.6,8878.4,9413.7,9886.4,10443.8,11488.2,11576.1,13242.4,13885.6,15568.8,21858.6,24268,25238.7,29968.8,32129,34300.2,35901.5,36990.4,37356,
Motor Vehicles-Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motor Cycle/Rickshaw (Numbers),,,,,,,,,,,,23063,23729,37408,51798,65953,53174,24903,34452,54017,52905,60404,41.87,68231,72804,92783,98647,97162,95793,63958,60960,121809,117180,96991,93167,94881,117858,133334,176591,327446,571145,751667,839224,1057751,917628,1389047,1638457,1645530,1675071,1728137,1777251,2071123,2500650,2825071,2459849,1813448,2475894,2190344,1288886,1288886,1234919,
,Cars (Numbers),,,,,,,,,,,,,,,,,,,4120,9229,13218,15878,13.69,19032,19996,25747,25166,28911,26945,19514,20955,31079,33462,33683,38682,32461,39573,40601,62893,99263,126817,160642,176016,164710,84308,121647,133972,154255,,,,,,,,,,,,,,
,Jeeps 4 x 4 Vehicles (Numbers),,,,,,,,,,,2480,2366,2192,1620,1219,1641,1682,1511,2138,2119,1715,2321,2.136,3502,3340,1581,2796,1774,1324,816,1310,2274,792,657,622,380,459,570,374,807,1564,2472,3298,1590,932,1172,883,451,121807,117498,153633,180717,190466,231138,216780,97889,163122,232015,131978,131978,100221,
,L.C.Vs (Numbers),,,,,,,,,,,2623,2112,1927,1394,8347,5961,8391,11170,10978,11594,12392,11566,10831,11767,11899,11609,11882,11411,11478,5128,5154,6834,9817,9886,8079,6656,6965,8491,12174,14089,23613,29581,19672,21354,16158,15568,19142,20929,14517,17477,28189,38418,27272,31337,26068,15074,35912,50831,22655,22655,12795,
,Buses (Numbers),,,,,,,,,,,2802,1983,1037,520,1176,1930,513,285,765,624,619,616,618,732,777,626,843,1114,1177,427,312,438,362,425,1220,1508,1337,1099,1340,1380,1762,825,993,1146,657,628,490,568,522,559,575,1394,1437,1076,1135,623,631,712,748,748,518,
,Trucks (Numbers),,,,,,,,,,,6324,4179,3161,3148,4183,5149,2899,3075,3644,2883,2797,2285,1835,2238,1857,1715,2059,1627,2222,1394,703,3030,2916,1850,1131,977,948,1141,1950,2022,3204,4518,4410,4993,3135,3425,2810,2597,1923,2674,4039,6937,9111,12349,8549,4225,5346,7222,4091,4091,2722,
,Tractors (Numbers),,,,,,,,,,,2.796,5766,6885,8237,5620,6545,8804,12367,18864,14176,13949,11331,18111,18584,23638,19376,13753,9817,17127,14907,14144,16903,10417,14144,26885,35038,32553,24331,26501,36103,43746,49439,54610,53607,60107,71730,70855,48152,50871,34524,48883,34914,53975,71894,49902,32608,50700,58922,31752,31752,46275,
Motor Vehicles-Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle (Numbers),,,,,,,,,,,,,,,,,,4,106,477,140,76,136,3,92,3,3,289,468,928,9916,8303,3618,7844,29218,22211,14505,20240,37836,39894,61187,52022,28509,38249,42966,99349,184023,199878,211535,260532,386981,541381,715496,1351813,692174,262867,377087,247196,130662,158247,147080,
,Motorised Cycles (Numbers),,,,,,,,,,,32,8,,,,,,500,237,1,602,126,,1001,4,5,510,584,426,26,234,1305,990,925,44,3,2,,509,675,4143,9472,12467,18512,20726,33596,103694,29721,36839,42840,58270,102593,106046,140778,124283,108502,69457,91175,56856,91050,96765,
,Motor Cycles (Numbers),,,,,,,,,,,11674,21103,31048,30496,43989,58941,62883,74954,65946,69116,76228,54206,44089,34965,52229,72932,84893,971650,119970,86349,62100,115235,135220,90435,79738,85592,95771,111711,143952,127861,189721,167626,164078,209098,200745,176577,216080,247352,275931,213466,291882,327001,323290,393790,290091,302046,398502,453910,256226,368105,434239,
,Motor Rickshaw (Numbers),,,,,,,,,,,5783,1,368,3230,3962,570,916,1870,505,301,,700,,,200,200,450,1053,2773,548,250,,,900,,8,20,,101,3,304,15,1727,1029,125,10816,14746,57002,19043,32745,97591,44911,30811,33489,30823,28089,35155,40089,349,31144,82767,
,Rickshaw chassis with Engine (Numbers),,,,,,,,,,,1608,1765,1540,2430,2403,3312,1981,2,,,1,32,,8,203,200,,10,,,,,,,,,17,36,10,2,144,315,421,187,6,84,,,,,,1,192,161,,,,,,,,
,Cars (Numbers),,,,,,,,,,,10167,3433,10725,11760,23071,11995,14254,18977,15491,27117,27424,34824,25376,37385,32015,44769,40827,42532,100188,38216,31743,35100,31817,36851,46363,34988,62187,40079,60554,88130,66338,36563,202785,540025,425721,750888,675810,1619659,671531,778073,1854622,1384775,1568723,1855468,2119541,1212456,1493580,1550946,1328668,1893131,2008012,
,Passengers M. Cars (NES) (Numbers),,,,,,,,,,,557,445,1939,556,13,6,850,784,960,2512,305,315,146,2788,150,97,149,16,212,88,224,919,338,310,162,161,99,161,194,243,244,1587,1174,690,557,176,344,326,923,54,10,5,,,,,,,,,,
,Car Chassis with Engine (Numbers),,,,,,,,,,,548,424,449,88,3,100,1,87,552,857,949,,,,,,8,23,11,1,,,28,2,,10,4,1,,,,,6,,20,1,163,2,,,2,,,2,,,4,,,,2,
,Pickup (Numbers),,,,,,,,,,,,,,,,,,16890,15733,18372,20116,11714,11207,10402,11028,12945,18300,19194,17931,6099,5751,5506,5511,6314,3734,3672,2703,3600,5162,6857,5394,23303,21898,8169,1871,21096,35462,73809,35101,29459,65751,69146,110247,251019,88945,87340,84911,90244,207986,171978,342299,
,Jeeps (Numbers),,,,,,,,,,,1306,1798,1587,1148,970,1422,1951,1476,2133,2704,2564,3078,2930,3911,3626,1241,2075,1519,1484,343,1535,959,542,1,165,48,338,666,6010,11435,5409,2108,1938,210,14,27,27,35,29,14,21,13,3,76,38,1,4,31,64,,,
,Station Wagon (Numbers),,,,,,,,,,,733,3075,2320,223,339,256,127,,93,699,471,1348,831,862,885,2008,1179,1594,746,251,326,265,173,143,97,71,115,165,440,154,37,284,2817,345,28,109,29,73,42,8,18,126,4,4,,,,,,2,,
,Delivery Van (Numbers),,,,,,,,,,,,,,,,,,3897,17743,2450,4097,3498,4978,5318,5766,6339,6118,5776,22343,2823,1940,1831,4851,5218,3149,3379,1573,2120,471,26,178,2586,1683,311,37,2,4,3,735,2732,5477,8707,10553,12810,8596,2361,3812,5270,1586,4364,8101,
,Lorries Trucks Ambulance (Numbers),,,,,,,,,,,,,,,,,,2008,1833,1910,3860,3304,2952,3082,3139,2976,4623,2760,4743,2673,882,1948,2101,1034,443,500,545,728,2971,2883,2616,13463,16610,4331,2405,12819,24728,10783,31027,23946,33489,47645,50380,38095,20872,10701,12549,14113,26148,9223,23954,
,Passenger Vehicles Public (Numbers),,,,,,,,,,,,,,,,,,5,244,2113,1045,970,233,22,27,36,56,7,17,15,8,27,22,4,61,183,62,6,473,721,1519,5228,2123,836,363,364,225,449,16947,1282,2810,3036,2649,3316,1335,227,1353,1503,512,3841,1539,
,Special Lorries Trucks & Vans (Numbers),,,,,,,,,,,,,,,,,,,252,427,244,361,209,228,195,440,250,360,535,461,219,102,198,99,152,109,138,157,54,95,1544,551,573,875,1203,5326,3371,704,2832,1406,927,1398,1929,1098,518,197,187,171,56,168,166,
,Bus etc. Chassis (Numbers),,,,,,,,,,,3215,3077,2565,1401,1506,3995,1910,2889,389,623,526,118,63,7,12,8,,15,102,24,48,,12,,,277,57,60,46,164,18,7,24,314,1017,671,1553,35920,1586,3997,4818,9136,21046,2152,1568,494,1409,986,668,15,718,
,"Buses, Trolly Buses (Numbers)",,,,,,,,,,,,,,,,,,136,144,644,400,236,793,771,812,742,594,922,2247,893,267,344,396,498,603,917,588,700,1230,2429,411,2104,652,217,232,285,861,997,668,425,847,1234,720,685,611,404,314,494,223,217,397,
,Motor Vehicles for Goods (Numbers),,,,,,,,,,,,,,,,,,151,594,589,965,438,16,28,36,17,3,75,134,57,43,151,22,18,146,160,,2,234,511,269,3844,297,22,2,,5,6,,7,,1,10,1313,1,7,5,1,,,,
,Spl. Truck etc. Chassis (Numbers),,,,,,,,,,,258,347,341,436,796,1667,1593,794,916,1002,1398,187,152,4,44,42,1,15,,26,,,,,,,4,,,,,38,48,335,9,12,233,18,9,17,3063,3267,81,152,85,406,24,88,186,25,52,
,Road Tractors for Trailers (Numbers),,,,,,,,,,,7,95,82,102,5,402,126,679,50,43,24,14,137,5,,3,1,7,10,27,4,193,340,38,37,7,36,18,122,124,117,498,997,2409,2149,2154,1345,767,1252,1309,9991,4442,1836,1307,1278,1493,4262,4360,10346,6704,2565,
,Tractor Agricultural (Numbers),,,,,,,,,,,7633,8895,17771,15095,18056,25597,15796,,22907,24594,14341,1853,663,1360,1592,572,408,491,,952,10084,6805,2020,1886,3281,2469,55,220,14000,11420,6543,20769,30588,8914,2636,12052,905,3676,1988,2088,3086,1843,4831,3796,2270,1366,2244,3658,2256,2492,1459,
,Tractor Cater-pillar (Numbers),,,,,,,,,,,7,56,14,32,32,52,7,,5,12,62,29,120,2,14,,1,18,,3,2,1,6,,1,,,44,1,30,91,12,1,1,,,,,,,,4,,44,,,,,,2,,
,Tractor Heavy Duty for Const. (Numbers),,,,,,,,,,,40,4,7,294,50,25,86,,296,12,59,29,1,1,,24,,64,115,14,2,,14,28,,5,13,4,120,219,563,632,845,744,402,245,148,469,131,347,476,369,843,643,95,86,105,163,151,20,74,
,Tractor Roads (Numbers),,,,,,,,,,,24,50,15,4,1,9,,,3,9,,2,2,,,,,1,,,,,8,,,3,25964,15174,1115,2104,1646,2284,904,1892,434,165,144,,225,157,434,675,703,713,867,488,166,188,98,143,255,
,Tractor (NES) (Numbers),,,,,,,,,,,8,70,16,26,10,2,23,,1997,3949,528,647,313,25,91,42,87,596,78,115,80,323,179,113,436,1,15,115,496,736,2167,3378,7213,19623,14205,6189,12208,27762,18773,16796,28743,30464,66946,63638,2468,6913,2466,4348,9436,28903,18049,
,Electric Vehicles (Numbers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,25,12,,,,,,,,,
,Electric Bikes (Numbers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,104,64,59,,,,,,,,,
,Sport Utility Vehicle (Numbers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,10,42,11,9,19,4,7,,3,3,
,3-Wheel Loader (Numbers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,10202,2956,16929,2180,47,2,5,3,,,
Pakistan Post Offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number of Post Offices, Urban",,,,,,,,1271,1252,1289,1314,1761,2017,2181,2220,2295,2395,2445,2495,2535,2566,2591,2626,2636,2619,1356,1356,1867,1909,1983,1970,2026,2092,2024,2044,2103,2178,2302,1983,1808,2267,1831,1849,1852,1580,1580,1797,1797,2178,1813,1813,1782,2046,2046,1717,1519,1514,2179,1742,2133,1413,
,"Number of Post Offices, Rural",,,,,,,,6635,6635,6615,6835,6938,7026,7405,7668,8193,8693,8793,8893,8993,9132,9307,9380,9480,9607,10837,10837,11546,11471,11213,11315,11294,11327,11192,11250,10751,10650,9932,10284,10446,9840,10499,10493,10514,10455,10455,10238,10238,10650,10264,10264,9962,9450,9450,8352,8626,8072,8012,8282,8459,5560,
,"Number of Post Offices, Total",,,7139,7317,7582,7821,8151,7906,7860,7904,8149,8749,8043,9586,9888,10488,11088,11238,11388,11528,11698,11898,12006,12116,12226,12193,12193,13413,13380,13196,13285,13320,13419,13216,13294,12854,12828,12233,12267,12254,12107,12330,12342,12366,12035,12035,12035,12035,12828,12077,12077,11744,11496,11496,10069,10145,9586,10191,10024,10592,6973,
