Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1965-66,1966-67,1967-68,1968-69,1969-70,1970-71,1971-72,1972-73,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
,Number of Vessels (Numbers),,53,59,61,65,66,71,57,54,52,52,53,49,48,48,58,50,55,50,47,36,33,30,29,29,28,28,28,29,27,15,17,15,15,15,15,14,14,13,14,14,15,14,14,14,10,11,9,9,9,9,9,9,9,9,11,11,11,13,12,10,
,Dead Weight (Tonnes),,516137,593826,618758,682913,679692,749046,635937,608845,597685,602741,621341,584195,564112,564112,580225,645450,738894,766601,731545,602744,559279,522517,510624,510624,492400,494956,494956,518953,595836,264410,290353,261817,261836,261836,261836,243802,243749,229579,469931,570466,636182,636821,636821,477238,633273,646666,610167,610167,642207,642207,681806,681806,681806,681806,831711,831711,831711,1045957,938876,724643,
,Gross Earnings (Rs. Million),,,,,,,,,,,,,,,,1141.7,1507.5,1688.4,1639.2,1625.3,2418.6,2657.6,2209.7,2643.3,3788,3165,3865,4063,3137,3302,4311,6962,7761.5,4580,3707,3483,5458.7,4555.5,5404.9,6881.9,7860,7924.6,9089,10754,11474,8739,9293,8875,8875,12253,15727,15536,12543,12477,10070,10863,13803,12789,27714,42475,28404.6,
PORTS-Cargo Handled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total (Karachi Port) (000 Tonnes),,7169,9220,8801,8585,9488,9587,9456,10512,10654,10161,10084.8,9590,11757,15025,14657,14653,15137,14789,14758,14898,15820,16305,17717,17866,19075,18709,20453,22170,22569,23098,23581,23475,22684,24053,23761,25981,26692,25852,27813,28615,32270,30846,37192,38732,41420,41431,37875,38850,41350,43422,50045,52493,54685,46893,41840,52279,51709,41851,64145,53951,
,Imports (Karachi Port) (000 Tonnes),,5269,6896,6508,5603,6028,6379,6397,7304,7559,7858,7691,7216,8917,11987,11259,11037,11589,11708,12412,12401,12511,13180,14332,14075,15024,14714,15267,17256,17610,17526,18719,18362,17114,18318,18149,20063,20330,19609,21732,22100,25573,23329,25517,25367,27892,28589,26201,26700,30343,29672,34594,42638,41669,32863,27206,36469,35540,29075,40844,33932,
,Exports (Karachi Port) (000 Tonnes),,1900,2324,2293,2982,3460,3208,3059,3208,3095,2303,2393,2374,2840,3038,3398,3616,3548,3080,2346,2497,3309,3125,3385,3791,4051,3995,5186,4914,4959,5572,4862,5113,5570,5735,5612,5918,6362,6244,6081,6515,6697,7517,11675,13364,13528,12842,11674,21150,11007,13750,15451,9855,13016,14031,14634,15810,16169,12776,23301,20019,
,Total (Port Qasim) (000 Tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14967,13933,14941,13588,13317,15109,14123,19437,21573,24350,26424,25030,25626,26168,24025,24801,25775,30014,33321,37358,45555,49031,51017,57993,55150,40500,44907,45304,
,Imports (Port Qasim) (000 Tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13823,12191,13238,11841,10932,11980,11264,16006,17588,19511,21502,19445,19226,19511,18075,17754,18076,21608,25857,30995,38471,41878,43509,50339,46665,33382,35033,35585,
,Exports (Port Qasim) (000 Tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144,1742,1703,1747,2385,3129,2859,3431,3985,4839,4922,5584,6380,6657,5950,7047,7699,8405,7464,6363,7084,7153,7508,7654,8485,7118,9874,9719,
,Total (Gwadar Port) (000 Tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426,508,649,439,51,82,27,5,27,55,80,591.5,34.3,62,
,Imports (Gwadar Port) (000 Tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426,508,649,439,51,80,24,4,27,51,77,591.5,34.3,62,
,Exports (Gwadar Port) (000 Tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,1,1,4,2,843,,,
Pakistan International Airlines Corporation-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIA Fleet Number of Planes,,23,28,25,26,23,28,19,18,21,25,25,28,31,32,32,31,29,31,33,41,43,44,44,40,43,44,45,45,47,47,47,47,47,45,46,45,45,44,43,42,47,42,42,44,40,40,38,38,34,34,37,36,32,31,30,30,35,32,33,31,
,Available Seats (Million KM),,1370,1994,2331,2602,2797,3473,2825,2395,2926,4028,5264,6439,7319,7969,8981,10152,9785,9914,10457,10500,10749,11508,12922,13763,14247,13401,15066,15733,15159,15848,16573,17528,16952,16752,17839,18692,9885,15778,16264,18299,20348,22092,20313,19528,19859,21219,19850,17412,16537,16666,19201,19108,18081,18372,8902,7682,13075,13768,12123,12466,
,Route (KM),,46745,68984,72114,72753,87669,90555,99155,111886,113570,147095,148569,164315,185369,208895,218828,205996,192216,204854,203516,202841,194080,220521,209953,234249,250903,255336,258558,270536,303321,353221,310205,336230,325744,335348,332417,317213,324815,291428,311152,294082,354664,446570,383574,311131,380917,424570,460719,411936,389455,367251,382057,360937,332303,389725,705820,374054,341821,301832,593063,570223,
,Passenger Load Factor (%),,70.2,63.7,60.3,59.6,62.7,59.1,56.4,56.8,54.5,55.4,55.8,58.4,60.3,60.3,57.7,59.5,63.8,67.2,64.6,65.7,65.7,63.8,64.9,66.2,65.3,67.1,65.9,64.2,66.7,65.5,63.9,66.5,65.8,64,59.7,64.5,63.8,68.7,69.3,69.8,67,69,67,71,70,74,70,70,72,70,72,73,77,81,75,67,80,83,81.8,82,
,Available Tonne (Million KM),,195,270,324,336,374,486,420,363,429,667,803,987,1151,1306,1416,1549,1465,1473,1546,1594,1654,1796,1984,2109,2177,2045,2265,2352,2347,2452,2526,2649,2435,2403,2560,2631,1438,2270,2401,2528,3033,3369,3125,2934,2933,3091,2859,2471,2396,2436,2798,2659,2521,2610,1327,1020,1806,1884,1600,1643,
