Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
Fiscal Balance (Rs.Million),,,-12480,-12838,-13893,-17315,-14663,-14618,-17174,-25654,-25147,-36777,-42014,-46710,-57563,-56879,-56060,-89193,-89971,-107525,-92179,-105352,-137839,-156589,-204560,-179177,-206300,-179700,-190450,-180500,-130000,-216967,-325300,-377501,-777169,-680407,-929061,-1194409,-1760671,-1833864,-1388719,-1456725,-1349323,-1863797,-2260381,-3444916,-3376320,-3403321,-5259892,-6521445,-7206908,-6168015
Financing (net)(Rs.Million),,,12480,12838,13893,17315,14663,14618,17174,25654,25147,36777,42014,46710,57563,56879,56060,89193,89971,107525,92179,105352,137839,156006,204992,179178,206300,179700,190450,180500,130000,216988,325200,377501,777169,680407,929061,1194409,1760671,1833864,1388719,1456725,1349323,1863797,2260380,3444916,3376321,3403321,5259892,6521445,7205570,7089471
,External Financing(net) (Rs.Million),,6769,5860,6129,6711,6951,6977,5345,5162,5001,5169,8188,8424,12691,18195,22945,22101,18022,24334,24624,29319,28586,27636,38761,97070,69700,120700,83100,112900,-5900,120432,148900,147150,151311,149651,188889,107705,128650,-1676,511727,181032,370465,541390,785166,416706,895510,1338091,1178410,-679848,320713,618839
,Domestic Financing (Rs.Million),,5711,6978,7764,10610,7712,7641,11829,20492,20146,31608,33826,38286,44872,38684,33115,67092,71949,83191,67555,76033,109253,128370,166231,82108,136600,59000,107350,67600,135900,96556,176300,230351,625858,529466,740172,1086704,1632021,1835540,876992,1275693,978858,1322407,1475214,3028210,2480811,2065230,4081482,7201293,6884857,5549176
,,Non-Bank Financing (Rs.Million),1810,969,2817,2108,1407,5286,6313,14368,12280,12873,27728,27371,30931,37865,29581,23724,-515,19972,55048,49927,56980,56495,118202,155919,96700,92000,85000,119500,61000,8050,8100,56905,104302,223846,435610,471575,529384,378040,553330,366138,191843,276629,352719,764986,540250,196189,980570,3672703,-312801,982185
,,Bank Financing (Rs.Million),3901,6009,4947,8502,6305,2355,5516,6124,7866,18735,6098,10915,13941,819,3534,43368,72464,63219,12507,26106,52273,71875,48029,-73811,39900,-33000,14000,-55600,63690,60179,70900,101982,519906,305620,304562,615129,1102637,1457500,323662,892057,787015,1045778,1120495,2263224,1940561,1869041,3100912,3528590,7197658,4566991
,,Privatization Proceeds Financing (Rs.Million),,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,8350,3700,11210,28327,97300,71464,1650,1290,0,0,0,0,0,17498,,,2000,,,,,,1338,
GDP(at Cuurent Market Prices) in Rs.million,,,193872,223530,263082,293442,348999,411294,481697,541894,632551,710504,773251,854743,1014263,1153110,1274685,1523187,1791443,1999797,2345371,2781741,3170356,3634424,3992537,4392724,5147095,5655818,6030117,6581623,7611678,8619232,9689071,11165234,12647137,14705698,16507053,19731030,22344639,25042169,27952815,30425880,32725049,35552819,39189810,43798401,47540409,55836225,66657868,83650830,105142731,114691813
Total Revenue (% of GDP),,,9.9,9.8,10.1,10.5,11,11.4,10.8,10.9,11.4,10.9,11.6,12.2,11.5,12.1,12.5,11.3,12.9,12.1,11.6,11.6,12,10.6,10.8,10.7,10,9.8,10.3,11,10.4,10.4,11.1,11.6,11.9,12.6,12.6,11.4,11.5,11.9,13,12.9,13.6,13.9,13.3,11.2,13.2,12.4,12.1,11.5,12.6,15.7
,Tax Revenue (% of GDP),,8,7.9,8.2,8.6,9.3,9.4,8.9,9,8.5,7.9,8.1,9.7,9.2,9.6,9.4,8.5,9.2,8.9,8.9,9.3,9.6,8.9,8.9,8.9,7.9,7.8,7.9,8.4,8,7.7,8.3,8,8.3,8.2,8.9,8.6,9.2,8.8,9.2,9.9,10.4,10.4,10.8,9.7,9.3,9.4,10.1,9.3,9.6,11.1
,Non Tax Revenue (% of GDP),,1.9,1.9,1.9,1.9,1.7,2,1.9,1.9,2.9,3,3.5,2.5,2.3,2.5,3.1,2.2,2.9,3.1,2.7,2.2,2,1.6,1.9,1.8,2.1,2,2.4,2.5,2.4,2.8,2.8,3.7,3.5,4.4,3.7,2.8,2.3,3.1,3.8,3,3.2,3.5,2.5,1.5,3.9,2.9,1.9,2.2,3,4.6
Total Expenditures (% of GDP),,,16.7,15.7,15.5,16.7,15.7,15.5,14.7,16.1,15.8,16.4,17.4,17.8,17.8,17.4,17.4,17.1,17.9,17.4,15.6,15.4,16.3,14.9,15.9,14.7,13.8,12.7,13.7,13.6,12.6,13,14.5,15,18,17.2,18.2,17.5,19.4,19.2,18,17.7,17.7,19.1,19.1,19.1,20.3,18.5,20,19.3,19.5,21.2
,Current Expenditures (% of GDP),,9.8,8.6,9.7,10.4,10.2,9.8,9.6,11,11.4,12,12.6,13.6,13.2,13.3,13,12.8,12.8,13.6,12.5,12.4,13.4,12.5,13.3,12.5,12.2,11.4,11.6,12,10.2,10,10.7,12.3,14.7,13.9,14.5,14.7,15.5,14.6,14.3,14.5,14.3,14.6,14.9,16.2,17.9,16.3,17.3,17.3,17.7,18.8
,Development Expenditures & net Lending (% of GDP),,6.9,7.1,5.8,6.3,5.5,5.7,5.1,5.1,4.4,4.4,4.7,4.2,4.6,4.2,4.4,4.8,5.9,3.9,3.1,3.1,3.4,2.4,2.6,2.3,1.6,1.3,2.1,1.6,2.4,2.9,3.8,3.8,3.3,3.1,4,2.6,3.5,4.6,4.4,3.7,4,4.7,4.1,2.8,2.5,2.4,2.5,2.3,2,2.6
Fiscal Balance (% of GDP),,,-6.4,-5.7,-5.3,-5.9,-4.2,-3.6,-3.6,-4.7,-4,-5.2,-5.4,-5.5,-5.7,-4.9,-4.4,-5.9,-5,-5.4,-3.9,-3.8,-4.3,-4.3,-5.1,-4.1,-4,-3.2,-3.2,-2.7,-1.7,-2.5,-3.4,-3.4,-6.1,-4.6,-5.6,-6.1,-7.9,-7.3,-5,-4.8,-4.1,-5.2,-5.8,-7.9,-7.1,-6.1,-7.9,-7.8,-6.9,-5.4
