Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1970-71,1971-72,1972-73,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
"Number of Educational Institutions By Kind, Level & Sex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Primary Stage I-V (000), Female",,1040,1110,1270,1370,1430,1549,1591,1598,1630,1676,1782,1896,2010,2174,2252,2365,2532,2673,3096,3342,3675,3714,3696,4123,4708,4590,5350,5861,5149,5660,5559,5871,6132,8179,7642,7710,7848,8032,8144,8320,7971,7905,8278,8567,8778,9534,9660,10093,10625,10698,10925,10732,11162,12221,12569,
,"Middle Stage VI-VIII (000), Total",,933,963,1041,1096,1196,1247,1298,1304,1301,1391,1412,1494,1494,1760,1805,1910,2023,2053,2394,2606,2821,2981,3040,3305,3816,3605,3726,4032,4098,4112,3759,3821,3918,4321,4612,5322,5431,5427,5414,5504,5644,6020,6188,6461,6582,6922,6996,7362,7634,7870,8415,8767,9433,10819,11630,
,"Middle Stage VI-VIII (000), Female",,178,196,232,247,279,294,309,317,327,345,359,389,389,424,446,516,554,593,697,771,842,858,994,1123,1347,1270,1357,1532,1586,1615,1706,1506,1551,1737,1885,2191,2264,2279,2298,2337,2421,2573,2653,2798,2843,3026,3088,3273,3426,3544,3784,3996,4350,5161,5631,
,"High Stage IX-X (000), Total",,336,366,390,418,462,493,509,506,479,476,509,543,578,606,645,667,708,745,820,913,1004,1079,1168,1315,1525,1447,1521,1658,1703,1726,1565,1574,1589,1800,1936,2188,2373,2484,2556,2583,2630,2753,2898,3109,3501,3653,3583,3861,3969,4015,4360,4490,4715,5423,5803,
,"High Stage IX-X (000), Female",,67,71,81,78,100,106,116,123,124,125,130,135,141,146,160,177,187,203,232,264,285,295,357,421,514,480,520,605,639,653,675,644,658,709,780,905,974,1022,1071,1078,1103,1155,1215,1303,1493,1580,1541,1692,1755,1784,1915,2001,2134,2508,2712,
,"Technical &Vocational (000), Total",,35,40,59,40,42,31,29,26,29,35,40,45,49,53,57,59,66,89,123,108,90,90,93,84,86,86,92,90,75,91,83,83,94,101,114,239,251,256,265,273,281,290,302,309,320,315,345,433,433,433,433,438,453,457,463,
,"Technical &Vocational (000), Female",,10,12,16,14,14,9,8,7,7,7,7,8,8,8,8,9,22,27,39,33,19,21,24,18,15,14,15,18,17,17,14,15,19,23,21,90,94,96,99,102,106,109,113,117,112,112,120,148,148,148,148,153,151,159,161,
,"Higher Sec/Inter Colleges (000), Total",,199,186,186,193,208,211,223,221,233,253,270,283,297,355,373,400,387,420,428,469,630,679,422,405,422,440,457,478,509,562,582,582,625,691,307,891,942,960,1074,1166,1188,1294,1400,1234,1665,1698,1595,1688,2140,2227,2320,2146,2335,2971,3169,
,"Higher Sec/Inter Colleges (000), Female",,50,49,47,53,58,53,66,72,75,78,87,94,101,111,117,126,125,135,143,165,211,232,151,149,166,179,191,201,234,263,283,285,306,338,141,444,473,452,508,495,408,367,395,497,662,675,618,765,984,1019,1062,990,1091,1498,1639,
,"Degree Colleges (Numbers), Total",,37245,36182,37596,42483,44734,56140,56932,62113,67296,72479,55897,57602,58587,56276,59169,68317,64910,73609,74848,75310,75786,76249,281200,270000,281600,293600,304800,318400,312000,316800,305200,300400,320800,329007,453275,355705,380012,383810,366518,383954,431180,497152,641539,465435,510588,518144,537407,604614,725631,771636,757886,623392,660705,909135,941535,
,"Degree Colleges (Numbers), Female",,4612,4970,6450,6768,8086,8785,9541,10766,11986,13206,8519,9109,9219,9314,9742,13817,13814,15901,17466,18674,18902,19003,100400,99600,110400,119600,127600,134000,140400,148800,149600,148000,158400,163059,220118,209806,224263,226517,222850,217621,218374,222098,234006,240585,82479,86134,89512,294388,402603,416679,404385,333327,374776,550244,585520,
,"Universities (Numbers), Total",,17057,17507,18678,19081,21396,22772,37711,41130,38623,41810,42688,47573,48912,50418,54031,59891,61319,65340,69361,73382,61857,65944,68301,77119,80651,82955,91883,93780,91637,114010,124944,117863,126870,423236,471964,521473,605885,741092,803507,935599,1107682,1319799,1594648,1594648,1299160,1355649,1463279,1575793,1858704,2001695,2226251,2226251,1936329,1964147,1964147,
,"Universities (Numbers), Female",,3703,3878,4212,4134,1500,5121,8968,6998,6000,5712,7113,8483,7851,7816,8407,8801,9523,9786,10048,10310,11667,12727,14856,19342,21174,23105,25050,24848,25469,27369,36699,39682,43668,178723,195555,212997,255695,342125,356233,426323,521284,642198,805062,805062,602550,602509,667912,695028,832299,913559,1008087,1008087,886595,898410,898410,
"Number of Teachers in Educational Institutions By Kind, Level & Sex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Primary Schools (000), Total",,96.3,105.7,108.8,115.7,125.5,130.3,133.3,134.4,136.9,140.9,150,159.1,168.1,177.3,179,180.6,189.4,196.2,248.6,280.9,277.8,293.5,332.5,359.1,375.2,377.5,374.3,397,422.6,402.4,408.9,413.9,433.5,432.2,450.1,454.2,456,452.6,465.3,441.7,440.5,427.4,428.8,420.1,430.9,444.6,475.2,522.4,494.9,485.2,476.5,463.1,506,439.7,431.5,
,"Primary Schools (000), Female",,27.2,29.7,32.9,35,42.4,44.1,44.8,45.3,42.6,47.8,48.7,49.6,50.5,57.1,57.2,57.2,62,64.3,79.5,84.5,92.7,94.9,122.5,138.6,146.7,145.1,151.7,164.7,173.8,169.8,183.6,183.5,191.7,195.3,206.5,210.6,212.6,216,216.2,208.9,210.1,198.6,209.1,209.5,218.9,226.3,258.9,284,276.5,267.3,266.2,260,285.7,228.7,222.1,
,"Middle Schools (000), Total",,34.2,36,41.4,41.9,43.5,46.4,46,48.8,49.9,51.4,52.2,53.7,55.1,57.8,57.4,57.1,58.2,61.6,75,79.8,84.1,87.5,119,132.8,144.6,159.1,156.7,168.4,178.5,193.9,209.7,230.1,236.3,239.4,246.7,310.8,313.5,320.6,320.5,331.5,335,351.4,362.6,364.8,380.8,394.2,455.4,448.1,448.7,442.7,434,434.3,511.2,434.5,432.9,
,"Middle Schools (000), Female",,8.6,9.2,11.3,11.6,12.8,13.6,13.8,14.2,13.7,14.9,15.2,15.6,16.1,18.7,17,17.2,17.6,19,24.8,28.2,32,33.7,66.3,78.2,80.9,85,91.4,101,108.2,117.6,127.8,139.3,145.8,146.6,151.5,201.6,203.3,208.2,209,216.6,220.3,233.9,241.5,243.6,256.1,270.3,325.7,319.8,322,316.6,311.5,313.4,372.8,300.4,297.4,
,"High Schools (000), Total",,36.4,37.9,40.7,45.3,51.1,55.7,59.6,60.6,62.9,63.8,65.9,68.7,70.4,78.3,78.7,81.6,92.9,99.8,126.4,140.4,152.5,157,165.6,217.4,227.6,217.6,224.7,252.9,231.6,247.8,260.3,270.2,278,276.9,282.1,417.1,421.7,429.9,439.3,447.1,452.8,458.7,489.6,500.5,514.2,529.5,560.6,563.3,567.3,566.7,592.3,587.1,733.4,827.5,903.7,
,"High Schools (000), Female",,10.2,10.6,12,13.3,15.3,16.6,17.9,18.5,17.9,19.4,20.2,21.7,21.7,24.1,24.5,24.9,29,31.8,38.1,40.9,43.9,45.6,68.1,88.5,102.6,89.8,98.8,112.9,107.5,115.8,125.3,126.1,131.9,134.2,138.6,209.9,213,219.7,225.5,230.4,235.3,271.3,287.2,296.3,306.2,318,342.6,342.9,348.5,346.9,363.8,364.4,473,532.3,589.2,
,"Technical & Vocational Institutions (Numbers), Total",,2208,2326,2204,2582,2462,2630,2476,2225,2532,2817,3171,3408,3616,3835,4034,4190,5543,6684,9104,8445,7402,6703,9153,7965,6949,7291,7422,6923,7133,9253,9441,7192,7273,8535,7356,14565,14622,14914,15264,15338,15591,15847,16109,16377,19393,18157,18207,18207,18207,18207,18207,18347,40889,41104,51442,
,"Technical & Vocational Institutions (Numbers), Female",,532,555,517,579,597,805,715,626,699,674,711,743,775,807,866,861,1834,2291,3225,2779,2566,2677,2605,1603,1708,1799,1845,1870,1858,1959,1959,1863,1623,1957,1450,4658,4676,4770,5061,4905,4993,5079,5168,5259,5353,4384,4304,4304,4304,4304,4304,4738,5085,5227,5451,
,"Higher Sec/Inter Colleges (Numbers), Total",,8823,8313,8346,8990,9635,11313,11834,11548,11836,12077,12384,12691,13000,13130,13951,15599,18786,16490,16928,17347,20792,20548,25485,27666,29843,32898,32190,39267,35187,39268,48054,55146,57681,57881,57661,69425,71246,74223,76184,77248,81183,97633,132011,124336,118079,123061,120336,123154,136008,137660,158386,170240,196694,299434,369811,
,"Higher Sec/Inter Colleges (Numbers), Female",,2695,2318,2596,2433,2642,3167,3246,3184,3348,3430,3544,3658,3775,4142,4305,5000,5437,5692,5686,5780,7277,7447,9138,9825,10515,11729,11690,15767,14298,15764,21506,23016,24146,24190,24366,33959,34996,36162,37149,37595,39378,52746,71121,58867,63569,66528,63386,64320,70818,70441,81481,88766,105625,166237,211452,
,"Degree Colleges (Numbers), Total",,1868,1879,2060,2315,2624,3087,3167,3331,3443,3500,3343,3609,3628,3769,3884,3925,4519,4621,4428,4506,4544,4591,8269,8754,9128,9969,9950,10930,10777,11065,11019,10598,11164,11245,15653,20568,20768,20971,21176,30754,36349,40191,48809,25964,36587,37082,37857,41233,61602,60064,59455,57709,60130,58311,57971,
,"Degree Colleges (Numbers), Female",,225,224,231,387,478,472,472,486,501,510,463,516,557,604,629,762,836,856,871,886,907,913,3058,3178,3264,3657,3660,4105,4139,4221,4218,4164,4410,4505,6690,10485,10587,10690,10794,14313,16181,16815,19319,7599,7239,7379,7541,17803,27260,26836,25095,25372,25666,24666,24267,
,"Universities (Numbers), Total",,1568,1640,1644,2327,2455,2726,2916,3265,3573,3068,3183,3357,3322,3490,3589,3740,3878,4020,4162,4304,4744,4926,5728,5217,5316,5417,5162,5515,4911,5914,5988,5160,6180,37428,37469,37509,44537,46893,52833,57780,63557,70053,77557,77557,88288,83375,58733,56885,60279,60279,60279,69604,98030,102123,102123,
,"Universities (Numbers), Female",,137,150,171,215,330,296,351,358,340,332,395,385,449,488,509,541,585,602,619,638,640,674,747,918,939,927,919,976,837,1174,1302,1247,1375,,,,,,,,,,,,,,,,,,,,,,,
