Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
Dev-exp (Rs. Million),,,363,629.1,540,512,569,717,942,1037,1183,1526,1587,1881.5,2615,3114.41,2802,2681,2741,2402,2152.31,2875,3589.73,5741.07,6485.4,6076.6,5491.81,5887,5944,6688,6609,8500,11000,16000,20000,27228,32700,37860,18706,27658,29898,31781,55904,65213,75249,99005,87434,58624,77496,91664,207129,175872,200813,161484,
Non-Dev-exp (Rs. Million),,,278,360.64,439.2,558.6,641.6,661.89,794.82,993.1,1207,1564,1785.12,2393.81,3270,4064,4519,4537,4997,6129.65,7452.31,7680,8501,10613.75,11857.43,13586.91,15315.86,16190,18337,18717,22205,24305,27000,24000,30000,32670,41100,41000,23382,78359,104284,129421,146082,165959,192704,229957,329033,363154,427915,494606,712289,667307,724072,780704,
EPIVP (Calendar Year Basis) (Vaccine/doze.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B.C.G. (000),,,,,,,,,,,,,,,,,,,4673.51,4428.99,4493.2,4386.57,4092.49,3448.38,4841.42,4804.2,4950.66,5582.2,4995.43,5070.03,4777.17,5114.87,4862.49,5203.06,5364.14,5790.37,5884.44,6133.38,5924.87,5813.33,,,6150.8,5848.5,6233.7,6356.5,6608.4,7261.5,7019.4,7141.2,7782.4,7669.7,6956,
,"POLIO, 0 (000)",,,,,,,,,,,,,,,,,,,,,983.03,945.42,1150.75,1006.58,1372.48,1522.01,1605.41,2031.14,1787.97,1734.71,1842.28,2132.47,2352.55,2625.6,2846.23,3098.12,3428.75,3650.03,3773.06,3844.45,,,4746.2,4796.7,5120.1,5420.8,5818.8,6220.4,6339.8,6239.7,6868.2,7144.8,6263,
,"POLIO, I (000)",,,,,,,,,,,,,,,,,,,5478.6,5609.54,4487.01,4386.1,4232.62,3674.89,4797.04,4738.99,4757.49,5253.85,4581.26,4583.67,4543.24,4819.74,4512.85,4858.59,5250.57,5645.11,5556.13,5884.87,5852.61,5698.47,,,5838.7,5743.6,5990.7,6001.4,6138.1,6618.3,6607.1,6593.4,6983.2,7302.7,7038.9,
,"POLIO, II (000)",,,,,,,,,,,,,,,,,,,4278.84,4467.81,4082.92,2952.45,3730.37,3140.56,4282.05,4220.59,4203.67,4558.89,4026.74,4079.33,4014.69,4281.72,4098.19,4387.39,4869.88,5178.71,5034.41,5402.7,5526.67,5356.01,,,5494.8,5387.8,5537.9,5618.4,6138.1,6249.3,6239.1,6172.1,6508.7,6716.9,6646.1,
,"POLIO, III (000)",,,,,,,,,,,,,,,,,,,4018.12,3899,3772.44,3685.9,3465.71,2844.62,3994.28,3947.04,3973.2,4131.11,3811.69,4023.67,3780.17,4035.46,3916.35,4159.99,4738.95,5070.49,4819.07,5277.35,5422.44,5218.13,,,5369.4,5257.4,5378.7,5455.2,5672.4,6115.9,6124,6128.9,6480.1,6760.9,6609.8,
,"POLIO, IV (000)",,,,,,,,,,,,,,,,,,,,,,,,291.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLIO, BR (000)",,,,,,,,,,,,,,,,,,,1028.44,1134.57,1460.28,915.61,308.15,255.73,142.54,91.5,68.54,57.2,460.49,226.53,138.21,105.64,77.72,49.43,33.01,46.62,60.92,35.84,81.32,86.14,,,,,,,,,,,,,,
