Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2021-22,2022-23,2023-24,2024-25,2025-26
Poverty,,,23.9,50.4,,44.1,,,36.8,36.3,,29.5,,24.3,,,21.9,,,,,28.9,
Gini Co-efficient,,,0.3,0.3,,0.314,,,0.296,0.307,,0.299,,0.326,,,0.303,,,,,,
