Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
,Public Administration and Social Security (General Government) at Basic Prices (Rs Million),,774211,786888,838038,889991,941657,990795,1085283,1065491,1070320,959590,1039458,1117537,1254957,1380049,1261099,1359824,1458465,1547990,1717130,1776775,1830153,1820093,1853122,1722958,1602278,1740090,1888728
,Education at Basic Prices (Rs Million),,354347,364275,394859,435231,476684,491457,581970,588593,632653,691679,687672,717633,710974,754703,874643,859989,954556,939569,972853,991899,1024760,1012428,1071646,1133051,1247057,1291819,1359431
,Human Health and Social Work Activities at Basic Prices (Rs Million),,118603,123864,130834,140672,147683,155051,171910,191023,206310,267263,286804,291629,320709,347502,367959,394102,419645,470322,497098,535541,568638,585137,600835,657046,679024,700830,748857
,Other Private Services at Basic Prices (Rs Million),,920565,976444,1052933,1110622,1158988,1201350,1301525,1356717,1426140,1514411,1610860,1706065,1806795,1908643,2034281,2155870,2297754,2467019,2655324,2819194,2960260,3110031,3257106,3394654,3518111,3653413,3788108
,GDP {Total of GVA at bp} (Rs Million),,15807077,16382114,16811857,17680556,19040336,20563084,21727753,22838183,23853320,24106914,24652816,25442797,26256028,27268549,28238304,29314628,30508205,31914207,33859620,34916041,34586665,36582482,38843260,38760771,39777011.25,41042446.73,42561786.77
,Taxes at Basic Prices (Rs Million),,899579,933976,946397,1086357,1190433,1170938,1321801,1297188,1359206,1600448,1377395,1456850,1531324,1489924,1591093,1680357,2442880,2483605,2610793,2555422,2449628,2894190,2906476,2672001,2749577,3239611.917,3775595
,Subsidies at Basic Prices (Rs Million),,66630,68479,63099,115988,119242,159065,168958,237776,808196,455579,399218,581713,672621,459678,365702,288529,226036,222184,192402,287359,325947,375056,779803,632838,466788,617533.045,578638
,GDP {GVA + T - S} (Rs Million),,16640026,17247611,17695155,18650926,20111527,21574957,22880596,23897596,24404330,25251783,25630993,26317934,27114731,28298795,29463695,30706456,32725049,34175628,36278011,37184104,36710346,39101616,40969933,40799934,42059800.25,43664525.6,45758743.77
,Net Primary Income (NPI) at Basic Prices (Rs Million),,-256166,-256563,12707,460012,319073,309248,294038,272425,292903,400273,668702,823459,858351,889875,1052148,1228503,1492194,1479873,1484165,1934448,2424050,3275406,2806550,3235842,3193525,4160240,4019288
,Gross National Income at Basic Prices (Rs Million),,16383859,16991048,17707862,19110937,20430601,21884205,23174633,24170020,24697233,25652056,26299695,27141393,27973083,29188670,30515843,31934959,34217243,35655501,37762176,39118552,39134396,42377022,43776483,44035776,45253325.25,47824765.6,49778031.77
,Population (in million),,136,139,142,146,149,153,157,161,165,169,173,177,182,186,191,195,200,205,210,214,218,223,227,231,244.41,249.52,254.64
Agriculture at Basic Prices (% of GDP),,,31.7,30.6,30.2,29.7,28.5,28.2,27.1,26.7,25.8,26.4,25.9,25.8,25.8,25.6,25.3,24.8,24,23.4,22.9,22.4,23.5,23,22.6,23.2,24,23.6,
,Crops (% of GDP),,14.5,13.1,12.3,11.9,11.1,11.6,11,11,10.3,10.6,9.8,9.7,9.5,9.4,9.3,8.9,8.2,7.9,7.8,7.3,7.8,7.8,7.9,7.9,8.5,8.1,
