Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
,"Electricity, Gas & Water Supply at Current Prices (Rs Million)",,168854,175047,168964,179650,244514,245599,166287,166434,218907,231821,297922,505198,547867,480614,537920,618222,681030,684635,601438,723614,936384,1239849,1096839,1966814,2804689,3012456,2952845
,Construction at Current Prices (Rs Million),,137994,149448,149945,159122,182602,242145,283137,335194,410105,455134,461740,487682,574299,656116,726132,816498,898569,1026336,1288730,1175205,1243382,1383017,1849912,2159124,2480026,2889375,3051980
Commodity Producing Sector at Current Prices (Rs Million),,,2191158,2360651,2403696,2602408,3113864,3577631,3935455,4453021,5254495,6194653,7205962,8880172,10132080,11168464,12399512,13042192,13246592,14243359,15770092,17625250,19227051,23204930,28489213,36927992,46368711,49199479,53789849
Services Sector at Current Prices (Rs Million),,,2679799,2995586,3307196,3616108,4084553,4633379,5253232,6208194,7110124,7853603,8682643,10221972,11527570,12991390,14413396,16030356,17261613,18931611,20744074,23484914,25519825,29049079,34816267,42636272,53368504,58024558.42,64200704
,Wholesale & Retail Trade at Current Prices (Rs Million),,794014,874619,900332,986581,1174374,1473204,1767758,2000067,2416316,2750622,3150498,3837273,4420802,4843685,5378156,5419114,5380330,5910874,6647619,7719369,7827884,9587513,13067848,15855830,19250836,19941130.74,22475673
,Transport & Storage at Current Prices (Rs Million),,603577,714917,837017,927814,1074333,1112078,1092717,1497592,1576760,1523625,1513782,1694240,1640908,2013535,2163837,2979036,3448607,3605358,3413093,3663539,3976118,4668572,4399679,4318117,7184114,9886599.81,10088063
,Accommodation and Food Services Activities (Hotels & Restaurants) at Current Prices (Rs Million),,26316,30001,33764,37687,43302,55092,68477,84494,94702,113752,140710,176774,219788,265614,325628,376985,425666,474246,537789,587976,620711,726385,822966,1201656,1534879,1758815.47,1913589
,Information and Communication at Current Prices (Rs Million),,80798,90303,101957,119299,141086,169671,170216,193629,251674,286593,303494,348620,420013,451631,470239,522249,610952,672357,687372,764469,929777,1019851,1229714,1314876,1573673,1756336.8,1930265
,Finance and Insurance Activities at Current Prices (Rs Million),,95542,112034,130684,120605,116295,179883,274179,333391,390650,476620,468172,532655,565290,510790,571655,580642,530185,573387,673401,904881,1088992,925285,1514327,3189460,3669283,2145303,2377015
,Real Estate Activities (OD) at Current Prices (Rs Million),,362443,396302,432097,458928,478928,497817,536598,608963,709327,804178,897433,1008091,1118242,1246803,1400379,1565349,1735453,1951033,2133802,2356250,2572654,2806288,3083508,3366051,3705332,4067745,4534917
,Public Administration and Social Security (General Government) at Current Prices (Rs Million),,256665,272371,302868,333030,363287,399718,471059,506912,548781,551045,657194,803079,1001081,1181891,1173126,1322214,1458465,1622405,1891699,2102445,2385741,2567759,2942698,3474295,4000127,4581084,5316068
,Education at Current Prices (Rs Million),,118808,126562,142235,164820,189072,202080,243767,264329,303978,349073,383665,429057,478376,554084,707019,791832,954556,1031740,1228677,1373330,1494309,1488542,1646706,1886354,2269407,2565014.75,2945445
,Human Health and Social Work Activities at Current Prices (Rs Million),,39518,44472,50644,55723,60342,64346,71402,81320,98061,142586,162388,180848,228238,288305,330731,377256,419645,506166,608073,701212,792130,882244,982782,1222837,1473457,1761028.34,2001413
,Other Private Services at Current Prices (Rs Million),,302118,334005,375598,411621,443534,479490,557060,637498,719877,855509,1005306,1211334,1434830,1635051,1892625,2095681,2297754,2584045,2922549,3311443,3831509,4376640,5126039,6806796,8707396,9561500.51,10618256
,GDP {Total of GVA at bp} at Current Prices (Rs Million),,4870957,5356237,5710892,6218516,7198417,8211010,9188688,10661214,12364620,14048256,15888604,19102143,21659650,24159853,26812907,29072548,30508205,33174970,36514166,41110164,44746876,52254009,63305480,79564264,99737215,107224037.4,117990553
,Taxes at Current Prices (Rs Million),,298227,323284,342029,406509,459264,472394,573718,617143,696900,919059,870853,1046915,1221540,1275990,1480099,1633881,2442880,2603563,2876571,3015143,3184272,4068363,4568689,5327680,6804791,8443725,10313792
,Subsidies at Current Prices (Rs Million),,22089,23703,22804,43402,46003,64172,73335,113123,414383,261617,252404,418028,536551,393674,340191,280549,226036,225714,200927,326906,390739,486147,1216301,1241114,1251769,1628410,1434211
,GDP {GVA + T - S} at Current Prices (Rs Million),,5147095,5655818,6030117,6581623,7611678,8619232,9689071,11165234,12647137,14705698,16507053,19731030,22344639,25042169,27952815,30425880,32725049,35552819,39189810,43798401,47540409,55836225,66657868,83650830,105290237,114039352.4,126870134
,Net Primary Income (NPI) at Current Prices (Rs Million),,-54577,-62978,3120,117110,93279,99822,111341,110989,152330,260358,461787,686169,870839,973135,1200429,1409327,1492194,1460043,1539673,2135631,2730935,3907559,4503951,5174759,5814769,8003470,9011846
,Gross National Income at Current Prices (Rs Million),,5092518,5592840,6033237,6698733,7704956,8719054,9800412,11276223,12799466,14966056,16968840,20417199,23215478,26015304,29153244,31835207,34217243,37012862,40729483,45934032,50271344,59743784,71161819,88825589,111105006,122042822.4,135881980
,Per Capita Income (Rs Million),,37570,40273,42403,45951,51586,56973,62500,70183,77746,88717,98165,115264,127898,139860,152940,162969,170924,180401,194181,214695,230349,268403,313488,383779,454584.5342,489110.3816,533623.8611
,Per Capita Income(US $),,726,689,690,785,896,960,1044,1158,1243,1130,1171,1348,1433,1446,1487,1609,1640,1723,1768,1578,1458,1677,1766,1547,1606.873574,1750.893814,1901.385573
,GDP Deflator Index,,30.93,32.79,34.08,35.29,37.85,39.95,42.35,46.72,51.82,58.24,64.4,74.97,82.41,88.49,94.87,99.09,100,103.95,108,117.8,129.5,142.84,162.98,205.27,250.7408472,261.2515724,277.2218038
,GDP Deflator (Growth %),,,6.01,3.92,3.55,7.25,5.56,6,10.33,10.92,12.37,10.59,16.41,9.92,7.38,7.21,4.44,0.92,3.95,3.9,9.07,9.93,10.3,14.1,25.95,22.15168054,4.191867933,6.112970444
Household Final Consumption Expenditure (at constant prices of 2015-16),,,13671826,14215931,14246378,14716159,15927131,17886931,18184074,19112458,19426988,19544835,19981481,20790707,21607156,22234152,23505265,24210748,26106975,27915885,29915812,31583262,30674157,33595078,35968918,36685392,38920365.54,39731261.21,40056413.27
NPISH Final Consumption Expenditure (at constant prices of 2015-16),,,157653,160855,170354,180566,190712,195118,195174,197903,208646,213959,218567,221527,234006,252319,262488,279002,296722,317125,352015,370679,374912,384937,378011,389766,393407.0063,433418.5083,452601.0381
General Government Final Consumption Expenditure (at constant prices of 2015-16),,,1541505,1413037,1606220,1688866,1925068,1950092,2555892,2409366,2574416,2896645,2807831,2752091,2801353,2983898,2993109,3048602,3471786,3627594,3826636,3766290,4086774,4161026,4105674,3945893,3600628,3994792,4443401
Total Gross Capital Formation (at constant prices of 2015-16),,,2750112,2881020,2820305,3071075,3361722,3671931,4327124,4477887,4637363,4477333,4172535,3862429,4001746,4108512,4249721,4782669,5214981,5601581,6153971,5557257,5220581,5429828,5679486,4877071,4846263.998,5469165.305,5827927.901
Gross Fixed Capital Formation (at constant prices of 2015-16),,,2465567,2586086,2517718,2752144,3017815,3303000,3935866,4069238,4220049,4045528,3734245,3412393,3538085,3624603,3745892,4257588,4657149,5017178,5533617,4921409,4592834,4761190,4978900,4179392,4127041.414,4722501.917,5045453.383
,Private Sector GFCF (at constant prices of 2015-16),,1759904,1858920,2002787,2242883,2393746,2584124,3082197,3092556,3180257,3040759,2855245,2642382,2663827,2769275,2931166,3213075,3537220,3621176,3879013,3812927,3627468,3681814,3758192,3226094,3315587.674,3565330.18,3872290.493
,Public Sector GFCF (at constant prices of 2015-16),,484162,509410,303174,251814,277914,308529,348119,342023,333389,242526,248181,204281,187894,314655,228254,303247,252053,353002,418721,404028,257481,272571,285204,195381,179427.5913,184412.7374,202785.8895
,General Govt. GFCF (at constant prices of 2015-16),,221502,217756,211757,257447,346154,410347,505550,634660,706404,762243,630819,565729,686363,540674,586472,741267,867876,1043000,1235883,704454,707885,806805,935504,757917,632026.1481,972759,970377
Change in Inventories (at constant prices of 2015-16),,,266240,275962,283122,298415,321784,345199,366090,382362,390469,404029,410096,421087,433836,452781,471419,491303,523601,546810,580448,594946,587366,625626,655519,652799,672956.804,698632.4097,732139.9003
Valuable assets (at constant prices of 2015-16),,,18304,18972,19465,20516,22123,23732,25169,26287,26845,27777,28194,28950,29826,31129,32410,33777,34231,37593,39906,40903,40381,43012,45067,44880,46265.78028,48030.97816,50334.61815
,Export of Goods and Non-Factor Services (at constant prices of 2015-16),,1376996,1560817,1765722,2222112,2192028,2577591,2863978,2951626,3021990,2852296,3076318,3161765,2753084,3005064,2930450,2818233,2859095,2929753,3223918,3648583,3703874,3945411,4179734,4301175,4244016.001,4280620.197,4531931.396
,Imports of Goods and Non-Factor Services (at constant prices of 2015-16),,2858066,2984049,2913824,3227853,3485135,4706706,5245646,5251645,5465073,4733285,4625738,4470585,4282614,4285150,4477338,4432797,5224509,6216310,7194340,7741968,7349952,8414664,9341889,9399363,9944880.293,10244731.62,9553530.832
Expenditure on GDP at Market Prices (at constant prices of 2015-16),,,16640026,17247611,17695155,18650926,20111527,21574957,22880596,23897596,24404330,25251783,25630993,26317934,27114731,28298795,29463695,30706456,32725049,34175628,36278011,37184104,36710346,39101616,40969933,40799934,42059800.25,43664525.6,45758743.77
Net Primary Income (at constant prices of 2015-16),,,-256166,-256563,12707,460012,319073,309248,294038,272425,292903,400273,668702,823459,858351,889875,1052148,1228503,1492194,1479873,1484165,1934448,2424050,3275406,2806550,3235842,3193525,4160240,4019288
Expenditure on GNI at Market Prices (at constant prices of 2015-16),,,16383859,16991048,17707862,19110937,20430601,21884205,23174633,24170020,24697233,25652056,26299695,27141393,27973083,29188670,30515843,31934959,34217243,35655501,37762176,39118552,39134396,42377022,43776483,44035776,45253325.25,47824765.6,49778031.77
GNI at Basic Prices (at constant prices of 2015-16),,,15550911,16125551,16824564,18140568,19359409,20872332,22021790,23110608,24146223,24507187,25321518,26266256,27114380,28158424,29290452,30543131,32000399,33394080,35343785,36850489,37010715,39857888,41649810,41996613,42970536.25,45202686.73,46581074.77
Household Final Consumption Expenditure at Current Prices (Rs Million),,,3858189,4337323,4522052,4886736,5758860,6812136,7482549,8793295,10266053,11559098,13040094,15732043,18203589,20141465,22717649,24416016,26106974,28800377,31906384,36301307,38265131,46061461,56663411,68793024,88241966.14,94140747.92,104845398.8
NPISH Final Consumption Expenditure at Current Prices (Rs Million),,,52265,55678,61566,67567,73576,78717,84714,94153,106978,122866,138188,159193,186667,216089,244177,271285,296722,332379,386231,434362,487348,541106,594195,777155,973643,1129662,1264341
General Government Final Consumption Expenditure at Current Prices (Rs Million),,,510387,489551,580614,640472,737327,789604,1120889,1161463,1338332,1695394,1802365,2017811,2256651,2569278,2802934,2978378,3471786,3823258,4308381,4708220,5604444,6102658,6993667,8653074,9326019,10611854,12606585
Total Gross Capital Formation at Current Prices (Rs Million),,,839526,904756,902251,1007967,1191286,1402042,1771377,1957928,2276032,2584929,2634782,2886971,3389455,3751913,4167081,4810615,5214981,5806803,6689031,6788597,7043368,8115623,10372326,11684471,13898992.39,16442406.21,18240724.83
Gross Fixed Capital Formation at Current Prices (Rs Million),,,751511,808042,799136,895421,1061127,1254654,1605694,1767003,2059766,2333461,2352511,2549570,3007362,3323692,3689088,4290332,4657149,5198850,6018885,6039644,6230427,7160824,9232476,10254042,12098529.34,14492333.29,16071245.54
,Private Sector GFCF at Current Prices (Rs Million),,530019,574161,633329,723172,841576,984892,1256759,1344761,1548706,1750808,1781573,1948560,2245994,2524774,2866970,3235480,3537220,3745750,4211187,4665930,4885372,5502024,6903875,7779813,9525191.34,10778461.31,12161895.28
,Public Sector GFCF at Current Prices (Rs Million),,159700,170692,102572,91877,103299,123078,149835,155070,170856,146117,159518,153745,162104,292145,227612,305802,252053,363686,448598,475183,349556,417382,530539,539659,634819.0018,673707.982,751741.258
,General Govt. GFCF at Current Prices (Rs Million),,61792,63188,63236,80373,116251,146684,199100,267172,340204,436537,411420,447266,599264,506773,594507,749050,867876,1089414,1359100,898531,995499,1241418,1798062,1934570,1938519,3040164,3157609
Change in Inventories at Current Prices (Rs Million),,,82354,90493,96482,105306,121787,137908,155025,178644,202354,235291,264113,315696,357514,400675,447245,486814,523601,568845,627037,700774,760647,893380,1066526,1338413,1684643.792,1824629.639,2029922.144
Valuable at Current Prices (Rs Million),,,5662,6221,6633,7240,8373,9481,10658,12282,13912,16176,18158,21704,24579,27546,30748,33468,34231,39108,43109,48178,52294,61420,73324,92016,115819.2607,125443.2877,139557.1474
,Export of Goods and Non-Factor Services at Current Prices (Rs Million),,495646,600997,679170,800631,869480,1056015,1215876,1297967,1501951,1822181,2086033,2660247,2653194,3049510,3129310,3034851,2859095,2923015,3363191,4113048,4420573,5054072,7026133,8778284,10929758.96,11393996.42,11328646.53
,Imports of Goods and Non-Factor Services at Current Prices (Rs Million),,608919,732487,715537,821750,1018851,1519282,1986334,2139572,2842209,3078770,3194408,3725235,4344917,4686085,5108336,5085264,5224509,6133012,7463408,8547132,8280456,10038695,14991863,15035178,18080142.49,19679314.13,21415562.12
Expenditure on GDP at Market Prices at Current Prices (Rs Million),,,5147095,5655818,6030117,6581623,7611678,8619232,9689071,11165234,12647137,14705698,16507053,19731030,22344639,25042169,27952815,30425880,32725049,35552819,39189810,43798401,47540409,55836225,66657868,83650830,105290237,114039352.4,126870134
,Net Primary Income at Current Prices (Rs Million),,-54577,-62978,3120,117110,93279,99822,111341,110989,152330,260358,461787,686169,870839,973135,1200429,1409327,1492194,1460043,1539673,2135631,2730935,3907559,4503951,5174759,5814769,8003470,9011846
,Expenditure on GNI at Market Prices at Current Prices (Rs Million),,5092518,5592840,6033237,6698733,7704956,8719054,9800412,11276223,12799466,14966056,16968840,20417199,23215478,26015304,29153244,31835207,34217243,37012862,40729483,45934032,50271344,59743784,71161819,88825589,111105006,122042822.4,135881980
GNI at Basic Prices at Current Prices (Rs Million),,,4816380,5293259,5714012,6335626,7291695,8310832,9300029,10772203,12516949,14308614,16350391,19788312,22530489,25132988,28013336,30481875,32000399,34635013,38053839,43245795,47477811,56161568,67809431,84739023,105551984,115227507.4,127002399
Private & Public at Current Prices GFCF (Rs Million),,,689719,744853,735900,815048,944875,1107969,1406593,1499831,1719562,1896925,1941091,2102305,2408098,2816919,3094581,3541282,3789273,4109436,4659785,5141113,5234928,5919406,7434414,8319472,10160010.34,11452169.29,12913636.54
,"Private & Public GFCF of Agriculture, Forestry & Fishing at Current Prices (Rs Million)",,178847,178013,187506,200019,222088,249715,275107,297228,331561,403760,466090,555388,661546,745766,779362,885148,904250,965529,1050711,1138639,1251854,1523084,1825742,2347313,3018749,3306240,3594342
,Private & Public GFCF of Mining and Quarrying at Current Prices (Rs Million),,19099,23033,26738,80416,52480,18728,30042,40865,33507,50698,66063,48621,61472,51243,80553,87818,122166,100586,71969,73327,90144,62148,69707,102972,155284,171700,197973
,Private & Public GFCF of Manufacturing at Current Prices Rs Million),,120178,135820,148667,145265,183752,219072,298925,282402,328195,374469,295540,292581,323126,416260,431221,484639,723845,755058,810934,891741,870779,958082,1134483,1119667,1228095,1283207,1348918
,,Private & Public GFCF of LSM at Current Prices (Rs Million),112331,127084,139017,134355,170635,203841,281328,262313,304217,345014,258293,243309,266845,351715,357556,403087,633494,649780,694141,749597,699962,772726,913781,919905,1030419,1035351,1038920
,,Private & Public GFCF of Small Scale (including Slaughtering) at Current Prices (Rs Million),7847,8736,9650,10910,13117,15231,17597,20089,23977,29455,37247,49272,56281,64545,73665,81552,90351,105278,116793,142144,170817,185356,220702,199762,197676,247856,309998
,Private & Public GFCF of Electricity Gas and Water Supply at Current Prices (Rs Million),,79740,81073,44486,55862,38447,48839,63595,57043,75889,114322,110590,144744,149597,181110,125607,240269,201651,191259,387511,461987,314993,336502,367600,474826,661297.2846,732639.8972,776255.4761
,Private & Public GFCF of Construction at Current Prices (Rs Million),,15165,14063,16815,6274,9069,20138,27088,34929,35137,47973,33244,23816,32651,37563,62381,52558,64882,111621,84984,44489,50961,50710,95807,76967,79537.05739,116715.3905,168284.0627
,Private & Public GFCF of Wholesale and Retail Trade at Current Prices (Rs Million),,26469,29168,30741,34279,40819,49532,59753,67618,81730,94254,109239,135134,151744,168683,191134,195579,202799,231144,301783,430297,408671,458047,470201,402591,514834,730509,1187034
,Private & Public GFCF of Accommodation and Food Services Activities (Hotels & Restaurants) at Current Prices (Rs Million),,11024,11934,12781,13908,15570,17252,19779,22008,26203,32431,38440,48499,55745,62285,70111,72741,74922,92968,85589,85772,57994,57050,58629,48220,61631,214021,241407
,Private & Public GFCF of Transport and Storage at Current Prices (Rs Million),,58912,72697,64835,66913,104123,129890,169229,154780,167796,142976,186838,193984,211302,289424,271493,371233,416691,492166,610512,558132,364876,604019,829445,614788,632105,660874,719068
,Private & Public GFCF of Information and Communication at Current Prices (Rs Million),,22319,30471,21682,15418,44137,89417,166525,212540,262040,178003,168358,103667,99348,113497,249769,252862,158036,157208,143185,155142,368840,231062,412601,185824,200248,236112,453001
,Private & Public GFCF of Finance and Insurance Activities at Current Prices (Rs Million),,8380,7101,10254,11332,14256,15905,20463,27485,33839,34989,30002,27933,35176,46406,39608,48237,56520,65697,61650,72956,78146,95648,119339,140900,202973,279867,314671
,Private & Public GFCF of Real Estate Activities (OD) at Current Prices (Rs Million),,103737,110481,116065,123071,145817,166565,181368,198215,222394,275151,270931,323752,386564,435686,486036,524307,523819,562916,613462,709639,803990,901130,1230687,1676199,2018618,2218779,2297057
,Private & Public GFCF of Public Administration and Defence; compulsory social security at Current Prices (Rs Million),,50868,52017,52057,66164,95700,120753,163902,232436,270800,359162,340511,370178,487649,427367,514388,624622,750084,967642,1229418,804220,888918,1070774,1634531,1777696,1798449.047,2753287,2819937
,Private & Public GFCF of Education at Current Prices (Rs Million),,24228,26007,27517,32435,42834,49198,56444,63119,77376,91044,90197,101647,136705,118919,145952,168035,179991,182153,190376,198774,217294,271247,312379,401008,448371.8273,580257,644862
,Private & Public GFCF of Human Health and Social Work Activities at Current Prices (Rs Million),,12122,13054,13670,16225,20686,24662,31237,29043,56503,64030,61797,72141,88672,87052,75624,107012,92531,108840,128714,118991,146936,181159,230726,289265,349849.5809,421449,449712
,Private & Public GFCF of Other Private Services at Current Prices (Rs Million),,20424,23108,25323,27841,31349,34987,42237,47290,56797,70199,84673,107488,126065,142432,165847,175272,184962,214063,248085,295537,316032,360161,440599,595806,728488,786676,858724
Private Sector GFCF at Current Prices (Rs Million),,,530019,574161,633329,723172,841576,984892,1256759,1344761,1548706,1750808,1781573,1948560,2245994,2524774,2866970,3235480,3537220,3745750,4211187,4665930,4885372,5502024,6903875,7779813,9525191.34,10778461.31,12161895.28
,"Private Sector GFCF of Agriculture, forestry and fishing at Current Prices (Rs Million)",,175926,177333,183538,198631,221979,249493,274829,296965,331260,403458,465763,555042,661131,745632,779231,884988,904045,965346,1050469,1138425,1251552,1522821,1825428,2346744,3018032,3305216,3593283
,,Private Sector GFCF of Crops at Current Prices (Rs Million),66641,64190,64975,72788,79188,84334,90585,92373,97116,121126,133870,150021,156473,173954,167033,193793,176622,212925,233258,237615,240929,314441,409345,516968,743481,714603,734367
,,Private Sector GFCF of Cotton Ginning at Current Prices (Rs Million),313,327,356,359,399,435,437,460,519,577,600,705,857,912,983,1029,1042,1097,1150,1274,1487,1748,2128,3530,4577,4843,5036
,,Private Sector GFCF of Livestock at Current Prices (Rs Million),94974,98453,102640,109418,125104,146122,165408,184881,212171,258279,307248,377299,471455,536959,575065,652852,689165,712747,776275,855920,958893,1148439,1344047,1711993,2122123,2430469,2694075
,,Private Sector GFCF of Forestry at Current Prices (Rs Million),407,426,465,470,522,571,574,605,684,762,793,934,1137,1162,1309,1373,1392,1468,1542,1712,2000,2355,2872,4772,6198,6566,6842
,,Private Sector GFCF of Fishing at Current Prices (Rs Million),13590,13939,15102,15596,16765,18030,17825,18647,20770,22713,23253,26082,31209,32646,34841,35941,35824,37109,38244,41904,48243,55838,67036,109481,141653,148735,152963
,Private Sector GFCF of Mining and quarrying at Current Prices (Rs Million),,17380,16155,19247,70608,49338,13688,23909,20386,23153,36038,53399,36470,43398,36040,58620,56115,94113,38057,47723,55204,65017,36853,45096,79240,135843,139834,157855
,Private Sector GFCF of Manufacturing at Current Prices (Rs Million),,98991,121927,147269,143865,180342,216932,295316,279577,327027,372319,294108,289967,320242,410482,425367,482879,722512,726853,802299,889976,862159,943687,1112402,1111127,1213927,1278694,1340037
,,Private Sector GFCF of Large Scale at Current Prices (Rs Million),91144,113191,137619,132955,167225,201701,277719,259488,303049,342864,256861,240695,263961,345937,351702,401327,632161,621575,685506,747832,691342,758331,891700,911365,1016251,1030838,1030039
,,Private Sector GFCF of Small Scale (including Slaughtering) at Current Prices (Rs Million),7847,8736,9650,10910,13117,15231,17597,20089,23977,29455,37247,49272,56281,64545,73665,81552,90351,105278,116793,142144,170817,185356,220702,199762,197676,247856,309998
,"Private Sector GFCF of Electricity, gas, and water supply at Current Prices (Rs Million)",,7983,9062,14614,13036,7890,9735,12137,13342,20327,49311,32650,64890,78225,27945,41536,77042,46543,44640,126854,86747,78541,71544,102146,140649,198275.2828,254171.9152,273565.2181
,Private Sector GFCF of Construction at Current Prices (Rs Million),,12614,11991,13586,3530,5811,16042,20713,22081,20708,33248,23295,16026,21274,21562,42461,42986,59704,105809,78378,43519,46805,40935,59687,36644,52442.05739,81068.39052,129998.0627
,Private Sector GFCF of Wholesale and retail trade at Current Prices (Rs Million),,26469,29168,30741,34279,40819,49532,59753,67618,81730,94254,109239,135134,151744,168683,191134,195579,202799,231144,301783,430297,408671,458047,470201,402591,514834,730509,1187034
,Private Sector GFCF of Accommodation and food service activities (Hotels and Restaurants) at Current Prices (Rs Million),,11024,11934,12781,13908,15570,17252,19779,22008,26203,32431,38440,48499,55745,62285,70111,72741,74922,92968,85589,85772,57994,57050,58629,48220,61631,214021,241407
,Private Sector GFCF of Transportation and storage at Current Prices (Rs Million),,22301,25164,29089,46408,63941,83377,117058,113091,119457,120410,155989,164449,180816,218541,219732,316869,389786,422421,495270,515888,340198,547769,772818,551408,583050,622847,661567
,Private Sector GFCF of Information and communication at Current Prices (Rs Million),,2717,5022,2544,4440,22624,64514,138594,183302,224895,156566,146323,85501,78862,93094,210756,213380,129729,123564,116808,126389,326496,196051,311841,137142,159234,182342,382514
,Private Sector GFCF of Financial and insurance activities at Current Prices (Rs Million),,5028,4925,8524,9104,13128,14845,18585,23458,30281,29723,25680,24644,28165,35828,34679,42702,49556,48748,55057,65082,70269,84213,94767,120644,182666,249474,281952
,Private Sector GFCF of Real estate activities (Ownership of Dwellings) at Current Prices (Rs Million),,103737,110481,116065,123071,145817,166565,181368,198215,222394,275151,270931,323752,386564,435686,486036,524307,523819,562916,613462,709639,803990,901130,1230687,1676199,2018618,2218779,2297057
,Private Sector GFCF of Education at Current Prices (Rs Million),,19020,20682,22188,25661,33037,36836,39664,42819,46869,55725,54842,63212,74595,82271,91246,97921,99588,108127,121144,139770,160611,169452,230595,315190,381362,417117,429696
,Private Sector GFCF of Human health and social work activities at Current Prices (Rs Million),,6406,7209,7820,8790,9932,11093,12819,14607,17605,21973,26243,33488,39168,44295,50212,52698,55142,61094,68266,83685,97037,112311,148979,218209,276789,297712,327206
,Private Sector GFCF of Other Private Services at Current Prices (Rs Million),,20424,23108,25323,27841,31349,34987,42237,47290,56797,70199,84673,107488,126065,142432,165847,175272,184962,214063,248085,295537,316032,360161,440599,595806,728488,786676,858724
Public Sector and General Govt. GFCF at Current Prices (Rs Million),,,221491,233880,165807,172249,219550,269762,348935,422242,511060,582654,570938,601011,761368,798918,822118,1054852,1119929,1453100,1807698,1373714,1345055,1658800,2328601,2474229,2573338.002,3713871.982,3909350.258
Public Sector GFCF (Autonomous & Semi Auto-Bodies) at Current Prices (Rs Million),,,159700,170692,102572,91877,103299,123078,149835,155070,170856,146117,159518,153745,162104,292145,227612,305802,252053,363686,448598,475183,349556,417382,530539,539659,634819.0018,673707.982,751741.258
,"Public Sector GFCF of Agriculture, Forestry & Fishing at Current Prices (Rs Million)",,2921,680,3968,1388,109,222,279,263,301,302,327,345,414,134,131,159,205,183,242,214,302,263,314,569,717,1024,1059
,Public Sector GFCF of Mining and Quarrying at Current Prices (Rs Million),,1719,6878,7491,9808,3142,5040,6133,20479,10354,14660,12664,12151,18074,15203,21933,31703,28053,62529,24246,18123,25127,25295,24611,23732,19441,31866,40118
,Public Sector GFCF of Manufacturing (Large Scale) at Current Prices (Rs Million),,21187,13893,1398,1400,3410,2140,3609,2825,1168,2150,1432,2614,2883,5778,5854,1760,1333,28205,8635,1765,8620,14395,22081,8540,14168,4513,8881
,"Public Sector GFCF of Electricity, Gas & Water Supply at Current Prices (Rs Million)",,71757,72011,29872,42826,30557,39104,51458,43701,55562,65011,77940,79854,71372,153165,84071,163227,155108,146619,260657,375240,236452,264958,265454,334177,463022.0018,478467.982,502690.258
,Public Sector GFCF of Construction at Current Prices (Rs Million),,2551,2072,3229,2744,3258,4096,6375,12848,14429,14725,9949,7790,11377,16001,19920,9572,5178,5812,6606,970,4156,9775,36120,40323,27095,35647,38286
,Public Sector GFCF of Transport & Storage at Current Prices (Rs Million),,36612,47533,35746,20505,40182,46513,52171,41689,48339,22566,30849,29535,30487,70883,51761,54364,26905,69745,115242,42244,24678,56250,56627,63380,49055,38027,57501
,,Public Sector GFCF of Railways at Current Prices (Rs Million),3336,4332,3258,1869,3662,4239,4754,3680,4167,1907,10874,2136,4265,24478,8767,6196,5825,39407,8627,14612,6261,4239,7177,18266,21618,27420,25180
,,Public Sector GFCF of Post Office & PTCL at Current Prices (Rs Million),75,98,74,42,83,96,107,119,65,70,65,48,34,28,0,5,0,1,0,997,1539,2,-1,-1,4,0,0
,,Public Sector GFCF of Others at Current Prices (Rs Million),33200,43104,32415,18594,36438,42179,47309,37890,44107,20588,19911,27351,26188,46378,42995,48163,21080,30337,106615,26635,16878,52009,49451,45115,27433,10607,32321
,Public Sector GFCF of Information and Communication at Current Prices (Rs Million),,19601,25449,19138,10978,21513,24903,27932,29238,37145,21437,22035,18166,20486,20403,39013,39481,28307,33644,26377,28753,42344,35011,100760,48682,41014,53770,70487
,Public Sector GFCF of Finance & Insurance at Current Prices (Rs Million),,3352,2176,1730,2228,1128,1060,1878,4027,3558,5266,4322,3289,7011,10578,4929,5535,6964,16949,6593,7874,7877,11435,24572,20256,20307,30393,32719
General Govt. GFCF at Current Prices (Rs Million),,,61792,63188,63236,80373,116251,146684,199100,267172,340204,436537,411420,447266,599264,506773,594507,749050,867876,1089414,1359100,898531,995499,1241418,1798062,1934570,1938519,3040164,3157609
,General Govt. GFCF of Federal at Current Prices (Rs Million),,17889,17208,21239,22616,29579,27885,38329,46291,67081,118254,133913,134417,148774,151799,169250,214678,235406,314376,359047,354495,387225,477178,542267,591344,623435,798972,879297
,General Govt. GFCF of Provincial at Current Prices (Rs Million),,35138,34704,19613,29525,54144,77407,122774,153561,181294,213290,219840,242542,372721,288464,358791,442650,527461,686665,909116,463854,527970,653800,1086307,1164239,1125263,1991963,1898948
,General Govt. GFCF of District Governments at Current Prices (Rs Million),,8765,11276,22384,28232,32528,41393,37997,67320,91829,104993,57667,70307,77769,66510,66466,91722,105009,88373,90937,80182,80304,110440,169488,178987,189821,249229,379364
General Government GFCF (By industries) at Current Prices (Rs Million),,,61792,63188,63236,80373,116251,146684,199100,267172,340204,436537,411420,447266,599264,506773,594507,749050,867876,1089414,1359098,898530,995500,1241418,1798062,1934570,1938519.456,3040164,3157609
