chapter_num,chapter_name,chapter_fa,path,name,level,last_year,last_value,first_year,first_value,n_points
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,"Total Investment Growth Rates (at current mp) % > Total Investment, Private (as % of GDP current mp)","Total Investment, Private (as % of GDP current mp)",1,2024-25,9.5,1980-81,7.8,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,Total Investment Growth Rates (at current mp) % > National Savings (as % of GDP current mp),National Savings (as % of GDP current mp),1,2024-25,14.9,1980-81,15.1,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,Total Investment Growth Rates (at current mp) % > Foreign Savings (as % of GDP current mp),Foreign Savings (as % of GDP current mp),1,2024-25,-0.5,1980-81,3.6,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,Total Investment Growth Rates (at current mp) % > Domestic Savings (as % of GDP current mp),Domestic Savings (as % of GDP current mp),1,2024-25,7.9,1980-81,7,36
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,Total Investment Growth Rates (at current mp) % > Per Capita Income (mp-US $),Per Capita Income (mp-US $),1,2024-25,1751,2005-06,897.4,20
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,GDP Deflator (growth %),GDP Deflator (growth %),0,2024-25,4.2,1980-81,10.4,36
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,Consumer Price Index (CPI) (growth %),Consumer Price Index (CPI) (growth %),0,2024-25,4.5,1980-81,13.9,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,Total Revenue (as % of GDP mp),Total Revenue (as % of GDP mp),0,2024-25,15.8,1980-81,16.9,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,Total Revenue (as % of GDP mp) > Tax Revenue (as % of GDP mp),Tax Revenue (as % of GDP mp),1,2024-25,11.2,1980-81,14,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,Total Revenue (as % of GDP mp) > Non-Tax Revenue (as % of GDP mp),Non-Tax Revenue (as % of GDP mp),1,2024-25,4.6,1980-81,2.9,45
